cid,city,prov,DeltaPolicy_std,DeltaA_std,DeltaT_std,DeltaN_std,DeltaO_std,Note
341200,阜阳市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341300,宿州市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341400,巢湖市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341500,六安市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341600,亳州市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341700,池州市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341800,宣城市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350100,福州市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350200,厦门市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350300,莆田市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350400,三明市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350500,泉州市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350600,漳州市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350700,南平市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350800,龙岩市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
350900,宁德市,福建省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360100,南昌市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360200,景德镇市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360300,萍乡市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360400,九江市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360500,新余市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360600,鹰潭市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360700,赣州市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360800,吉安市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
360900,宜春市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
361000,抚州市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
361100,上饶市,江西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370100,济南市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370200,青岛市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370300,淄博市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370400,枣庄市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370500,东营市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370600,烟台市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370700,潍坊市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370800,济宁市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
370900,泰安市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371000,威海市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371100,日照市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371200,莱芜市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371300,临沂市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371400,德州市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371500,聊城市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371600,滨州市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
371700,菏泽市,山东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410100,郑州市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410200,开封市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410300,洛阳市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410400,平顶山市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410500,安阳市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410600,鹤壁市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410700,新乡市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410800,焦作市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
410900,濮阳市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411000,许昌市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411100,漯河市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411200,三门峡市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411300,南阳市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411400,商丘市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411500,信阳市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411600,周口市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
411700,驻马店市,河南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420100,武汉市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420200,黄石市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420300,十堰市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420500,宜昌市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420600,襄阳市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420700,鄂州市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420800,荆门市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
420900,孝感市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
421000,荆州市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
421100,黄冈市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
421200,咸宁市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
421300,随州市,湖北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430100,长沙市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430200,株洲市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430300,湘潭市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430400,衡阳市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430500,邵阳市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430600,岳阳市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430700,常德市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430800,张家界市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
430900,益阳市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
431000,郴州市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
431100,永州市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
431200,怀化市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
431300,娄底市,湖南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440100,广州市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440200,韶关市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440300,深圳市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440400,珠海市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440500,汕头市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440600,佛山市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440700,江门市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440800,湛江市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
440900,茂名市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441200,肇庆市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441300,惠州市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441400,梅州市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441500,汕尾市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441600,河源市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441700,阳江市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441800,清远市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
441900,东莞市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
442000,中山市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
445100,潮州市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
445200,揭阳市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
445300,云浮市,广东省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450100,南宁市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450200,柳州市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450300,桂林市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450400,梧州市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450500,北海市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450600,防城港市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450700,钦州市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450800,贵港市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
450900,玉林市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
451000,百色市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
451100,贺州市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
451200,河池市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
451300,来宾市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
451400,崇左市,广西壮族自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
460100,海口市,海南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
460200,三亚市,海南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
460400,儋州市,海南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
500000,重庆市,重庆市,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510100,成都市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510300,自贡市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510400,攀枝花市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510500,泸州市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510600,德阳市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510700,绵阳市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510800,广元市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
510900,遂宁市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511000,内江市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511100,乐山市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511300,南充市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511400,眉山市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511500,宜宾市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511600,广安市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511700,达州市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511800,雅安市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
511900,巴中市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
512000,资阳市,四川省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520100,贵阳市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520200,六盘水市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520300,遵义市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520400,安顺市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520500,毕节市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
520600,铜仁市,贵州省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
530100,昆明市,云南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
530300,曲靖市,云南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
530400,玉溪市,云南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
530500,保山市,云南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
530600,昭通市,云南省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
